Name,Project Accession,Publication Date,Authors,Author Text,Journal,Related Concepts,Link,Description,Abstract,PDF,Data Types,Added By,Field 14
Metagenomic Approaches to Assess Bacteriophages in Various Environmental Niches,PRJNA52303,9/6/0207,"Stephen Hayes,Douwe van Sinderen","Stephen Hayes,1 Jennifer Mahony,1,2 Arjen Nauta,3 and Douwe van Sinderen1,2,*",MDPI,"viromes,microbiota,Phage,marine",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5490804/,,"Bacteriophages are ubiquitous and numerous parasites of bacteria and play a critical evolutionary role in virtually every ecosystem, yet our understanding of the extent of the diversity and role of phages remains inadequate for many ecological niches, particularly in cases in which the host is unculturable. During the past 15 years, the emergence of the field of viral metagenomics has drastically enhanced our ability to analyse the so-called viral ‘dark matter’ of the biosphere. Here, we review the evolution of viral metagenomic methodologies, as well as providing an overview of some of the most significant applications and findings in this field of research.",,Metagenomic,Koshiq Hossain,
Metagenomic Approaches to Assess Bacteriophages in Various Environmental Niches,PRJNA52305,9/6/2017,"Stephen Hayes,Douwe van Sinderen","Stephen Hayes,1 Jennifer Mahony,1,2 Arjen Nauta,3 and Douwe van Sinderen1,2,*",MDPI,"viromes,microbiota,Phage,marine",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5490804/,,"Bacteriophages are ubiquitous and numerous parasites of bacteria and play a critical evolutionary role in virtually every ecosystem, yet our understanding of the extent of the diversity and role of phages remains inadequate for many ecological niches, particularly in cases in which the host is unculturable. During the past 15 years, the emergence of the field of viral metagenomics has drastically enhanced our ability to analyse the so-called viral ‘dark matter’ of the biosphere. Here, we review the evolution of viral metagenomic methodologies, as well as providing an overview of some of the most significant applications and findings in this field of research.",,Metagenomic,Koshiq Hossain,
Metagenomic Approaches to Assess Bacteriophages in Various Environmental Niches,PRJNA52309,9/6/2017,"Stephen Hayes,Douwe van Sinderen","Stephen Hayes,1 Jennifer Mahony,1,2 Arjen Nauta,3 and Douwe van Sinderen1,2,*",MDPI,"viromes,microbiota,Phage,marine",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5490804/,,"Bacteriophages are ubiquitous and numerous parasites of bacteria and play a critical evolutionary role in virtually every ecosystem, yet our understanding of the extent of the diversity and role of phages remains inadequate for many ecological niches, particularly in cases in which the host is unculturable. During the past 15 years, the emergence of the field of viral metagenomics has drastically enhanced our ability to analyse the so-called viral ‘dark matter’ of the biosphere. Here, we review the evolution of viral metagenomic methodologies, as well as providing an overview of some of the most significant applications and findings in this field of research.",,Metagenomic,Koshiq Hossain,
Metagenomic Approaches to Assess Bacteriophages in Various Environmental Niches,PRJNA52311,9/6/2017,"Stephen Hayes,Douwe van Sinderen","Stephen Hayes,1 Jennifer Mahony,1,2 Arjen Nauta,3 and Douwe van Sinderen1,2,*",MDPI,"viromes,microbiota,Phage,marine",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5490804/,,"Bacteriophages are ubiquitous and numerous parasites of bacteria and play a critical evolutionary role in virtually every ecosystem, yet our understanding of the extent of the diversity and role of phages remains inadequate for many ecological niches, particularly in cases in which the host is unculturable. During the past 15 years, the emergence of the field of viral metagenomics has drastically enhanced our ability to analyse the so-called viral ‘dark matter’ of the biosphere. Here, we review the evolution of viral metagenomic methodologies, as well as providing an overview of some of the most significant applications and findings in this field of research.",,Metagenomic,Koshiq Hossain,
Metagenomic Approaches to Assess Bacteriophages in Various Environmental Niches,PRJNA52313,9/6/2017,"Stephen Hayes,Douwe van Sinderen","Stephen Hayes,1 Jennifer Mahony,1,2 Arjen Nauta,3 and Douwe van Sinderen1,2,*",MDPI,"viromes,microbiota,Phage,marine",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5490804/,,"Bacteriophages are ubiquitous and numerous parasites of bacteria and play a critical evolutionary role in virtually every ecosystem, yet our understanding of the extent of the diversity and role of phages remains inadequate for many ecological niches, particularly in cases in which the host is unculturable. During the past 15 years, the emergence of the field of viral metagenomics has drastically enhanced our ability to analyse the so-called viral ‘dark matter’ of the biosphere. Here, we review the evolution of viral metagenomic methodologies, as well as providing an overview of some of the most significant applications and findings in this field of research.",,Metagenomic,Koshiq Hossain,
Metagenomic Approaches to Assess Bacteriophages in Various Environmental Niches,PRJNA52315,9/6/2017,"Stephen Hayes,Douwe van Sinderen","Stephen Hayes,1 Jennifer Mahony,1,2 Arjen Nauta,3 and Douwe van Sinderen1,2,*",MDPI,"viromes,microbiota,Phage,marine",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5490804/,,"Bacteriophages are ubiquitous and numerous parasites of bacteria and play a critical evolutionary role in virtually every ecosystem, yet our understanding of the extent of the diversity and role of phages remains inadequate for many ecological niches, particularly in cases in which the host is unculturable. During the past 15 years, the emergence of the field of viral metagenomics has drastically enhanced our ability to analyse the so-called viral ‘dark matter’ of the biosphere. Here, we review the evolution of viral metagenomic methodologies, as well as providing an overview of some of the most significant applications and findings in this field of research.",,Metagenomic,Koshiq Hossain,
Metagenomic Approaches to Assess Bacteriophages in Various Environmental Niches,PRJNA52317,9/6/2017,"Stephen Hayes,Douwe van Sinderen","Stephen Hayes,1 Jennifer Mahony,1,2 Arjen Nauta,3 and Douwe van Sinderen1,2,*",MDPI,"viromes,microbiota,Phage,marine",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5490804/,,"Bacteriophages are ubiquitous and numerous parasites of bacteria and play a critical evolutionary role in virtually every ecosystem, yet our understanding of the extent of the diversity and role of phages remains inadequate for many ecological niches, particularly in cases in which the host is unculturable. During the past 15 years, the emergence of the field of viral metagenomics has drastically enhanced our ability to analyse the so-called viral ‘dark matter’ of the biosphere. Here, we review the evolution of viral metagenomic methodologies, as well as providing an overview of some of the most significant applications and findings in this field of research.",,Metagenomic,Koshiq Hossain,
Metagenomic Approaches to Assess Bacteriophages in Various Environmental Niches,PRJNA52319,9/6/2017,"Stephen Hayes,Douwe van Sinderen","Stephen Hayes,1 Jennifer Mahony,1,2 Arjen Nauta,3 and Douwe van Sinderen1,2,*",MDPI,"viromes,microbiota,Phage,marine",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5490804/,,"Bacteriophages are ubiquitous and numerous parasites of bacteria and play a critical evolutionary role in virtually every ecosystem, yet our understanding of the extent of the diversity and role of phages remains inadequate for many ecological niches, particularly in cases in which the host is unculturable. During the past 15 years, the emergence of the field of viral metagenomics has drastically enhanced our ability to analyse the so-called viral ‘dark matter’ of the biosphere. Here, we review the evolution of viral metagenomic methodologies, as well as providing an overview of some of the most significant applications and findings in this field of research.",,Metagenomic,Koshiq Hossain,
Metagenomic Approaches to Assess Bacteriophages in Various Environmental Niches,PRJNA52321,9/6/2017,"Stephen Hayes,Douwe van Sinderen","Stephen Hayes,1 Jennifer Mahony,1,2 Arjen Nauta,3 and Douwe van Sinderen1,2,*",MDPI,"viromes,microbiota,Phage,marine",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5490804/,,"Bacteriophages are ubiquitous and numerous parasites of bacteria and play a critical evolutionary role in virtually every ecosystem, yet our understanding of the extent of the diversity and role of phages remains inadequate for many ecological niches, particularly in cases in which the host is unculturable. During the past 15 years, the emergence of the field of viral metagenomics has drastically enhanced our ability to analyse the so-called viral ‘dark matter’ of the biosphere. Here, we review the evolution of viral metagenomic methodologies, as well as providing an overview of some of the most significant applications and findings in this field of research.",,Metagenomic,Koshiq Hossain,
Metagenomic Approaches to Assess Bacteriophages in Various Environmental Niches,PRJNA52323,9/6/2017,"Stephen Hayes,Douwe van Sinderen","Stephen Hayes,1 Jennifer Mahony,1,2 Arjen Nauta,3 and Douwe van Sinderen1,2,*",MDPI,"viromes,microbiota,Phage,marine",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5490804/,,"Bacteriophages are ubiquitous and numerous parasites of bacteria and play a critical evolutionary role in virtually every ecosystem, yet our understanding of the extent of the diversity and role of phages remains inadequate for many ecological niches, particularly in cases in which the host is unculturable. During the past 15 years, the emergence of the field of viral metagenomics has drastically enhanced our ability to analyse the so-called viral ‘dark matter’ of the biosphere. Here, we review the evolution of viral metagenomic methodologies, as well as providing an overview of some of the most significant applications and findings in this field of research.",,Metagenomic,Koshiq Hossain,
Metagenomic Approaches to Assess Bacteriophages in Various Environmental Niches,PRJNA52325,9/6/2017,"Stephen Hayes,Douwe van Sinderen","Stephen Hayes,1 Jennifer Mahony,1,2 Arjen Nauta,3 and Douwe van Sinderen1,2,*",MDPI,"viromes,microbiota,Phage,marine",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5490804/,,"Bacteriophages are ubiquitous and numerous parasites of bacteria and play a critical evolutionary role in virtually every ecosystem, yet our understanding of the extent of the diversity and role of phages remains inadequate for many ecological niches, particularly in cases in which the host is unculturable. During the past 15 years, the emergence of the field of viral metagenomics has drastically enhanced our ability to analyse the so-called viral ‘dark matter’ of the biosphere. Here, we review the evolution of viral metagenomic methodologies, as well as providing an overview of some of the most significant applications and findings in this field of research.",,Metagenomic,Koshiq Hossain,
Metagenomic Approaches to Assess Bacteriophages in Various Environmental Niches,PRJNA52327,9/6/2017,"Stephen Hayes,Douwe van Sinderen","Stephen Hayes,1 Jennifer Mahony,1,2 Arjen Nauta,3 and Douwe van Sinderen1,2,*",MDPI,"viromes,microbiota,Phage,marine",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5490804/,,"Bacteriophages are ubiquitous and numerous parasites of bacteria and play a critical evolutionary role in virtually every ecosystem, yet our understanding of the extent of the diversity and role of phages remains inadequate for many ecological niches, particularly in cases in which the host is unculturable. During the past 15 years, the emergence of the field of viral metagenomics has drastically enhanced our ability to analyse the so-called viral ‘dark matter’ of the biosphere. Here, we review the evolution of viral metagenomic methodologies, as well as providing an overview of some of the most significant applications and findings in this field of research.",,Metagenomic,Koshiq Hossain,
Metagenomic Approaches to Assess Bacteriophages in Various Environmental Niches,PRJNA52329,9/6/2017,"Stephen Hayes,Douwe van Sinderen","Stephen Hayes,1 Jennifer Mahony,1,2 Arjen Nauta,3 and Douwe van Sinderen1,2,*",MDPI,"viromes,microbiota,Phage,marine",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5490804/,,"Bacteriophages are ubiquitous and numerous parasites of bacteria and play a critical evolutionary role in virtually every ecosystem, yet our understanding of the extent of the diversity and role of phages remains inadequate for many ecological niches, particularly in cases in which the host is unculturable. During the past 15 years, the emergence of the field of viral metagenomics has drastically enhanced our ability to analyse the so-called viral ‘dark matter’ of the biosphere. Here, we review the evolution of viral metagenomic methodologies, as well as providing an overview of some of the most significant applications and findings in this field of research.",,Metagenomic,Koshiq Hossain,
Metagenomic Approaches to Assess Bacteriophages in Various Environmental Niches,PRJNA52331,9/6/2017,"Stephen Hayes,Douwe van Sinderen","Stephen Hayes,1 Jennifer Mahony,1,2 Arjen Nauta,3 and Douwe van Sinderen1,2,*",MDPI,"viromes,microbiota,Phage,marine",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5490804/,,"Bacteriophages are ubiquitous and numerous parasites of bacteria and play a critical evolutionary role in virtually every ecosystem, yet our understanding of the extent of the diversity and role of phages remains inadequate for many ecological niches, particularly in cases in which the host is unculturable. During the past 15 years, the emergence of the field of viral metagenomics has drastically enhanced our ability to analyse the so-called viral ‘dark matter’ of the biosphere. Here, we review the evolution of viral metagenomic methodologies, as well as providing an overview of some of the most significant applications and findings in this field of research.",,Metagenomic,Koshiq Hossain,
Metagenomic Approaches to Assess Bacteriophages in Various Environmental Niches,PRJNA52333,9/6/2017,"Stephen Hayes,Douwe van Sinderen","Stephen Hayes,1 Jennifer Mahony,1,2 Arjen Nauta,3 and Douwe van Sinderen1,2,*",MDPI,"viromes,microbiota,Phage,marine",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5490804/,,"Bacteriophages are ubiquitous and numerous parasites of bacteria and play a critical evolutionary role in virtually every ecosystem, yet our understanding of the extent of the diversity and role of phages remains inadequate for many ecological niches, particularly in cases in which the host is unculturable. During the past 15 years, the emergence of the field of viral metagenomics has drastically enhanced our ability to analyse the so-called viral ‘dark matter’ of the biosphere. Here, we review the evolution of viral metagenomic methodologies, as well as providing an overview of some of the most significant applications and findings in this field of research.",,Metagenomic,Koshiq Hossain,
Metagenomic Approaches to Assess Bacteriophages in Various Environmental Niches copy,PRJNA52403,9/6/2017,"Stephen Hayes,Douwe van Sinderen","Stephen Hayes,1 Jennifer Mahony,1,2 Arjen Nauta,3 and Douwe van Sinderen1,2,*",MDPI,"viromes,microbiota,Phage,marine",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5490804/,,"Bacteriophages are ubiquitous and numerous parasites of bacteria and play a critical evolutionary role in virtually every ecosystem, yet our understanding of the extent of the diversity and role of phages remains inadequate for many ecological niches, particularly in cases in which the host is unculturable. During the past 15 years, the emergence of the field of viral metagenomics has drastically enhanced our ability to analyse the so-called viral ‘dark matter’ of the biosphere. Here, we review the evolution of viral metagenomic methodologies, as well as providing an overview of some of the most significant applications and findings in this field of research.",,Metagenomic,Koshiq Hossain,
Functional diversity within the simple gut microbiota of the honey bee,PRJNA52851,3/7/2012,"Philipp Engel,Nancy A. Moran","Philipp Engel, Vincent G. Martinson, and Nancy A. Moran",PNAS,"Diversity,Gut Microbiome,gut microbiota,gut metagenome",https://www.pnas.org/content/109/27/11002,,"Animals living in social communities typically harbor a characteristic gut microbiota important for nutrition and pathogen defense. Accordingly, in the gut of the honey bee, Apis mellifera, a distinctive microbial community, composed of a taxonomically restricted set of species specific to social bees, has been identified. Despite the ecological and economical importance of honey bees and the increasing concern about population declines, the role of their gut symbionts for colony health and nutrition is unknown. Here, we sequenced the metagenome of the gut microbiota of honey bees. Unexpectedly, we found a remarkable degree of genetic diversity within the few bacterial species colonizing the bee gut. Comparative analysis of gene contents suggests that different species harbor distinct functional capabilities linked to host interaction, biofilm formation, and carbohydrate breakdown. Whereas the former two functions could be critical for pathogen defense and immunity, the latter one might assist nutrient utilization. In a γ-proteobacterial species, we identified genes encoding pectin-degrading enzymes likely involved in the breakdown of pollen walls. Experimental investigation showed that this activity is restricted to a subset of strains of this species providing evidence for niche specialization. Long-standing association of these gut symbionts with their hosts, favored by the eusocial lifestyle of honey bees, might have promoted the genetic and functional diversification of these bee-specific bacteria. Besides revealing insights into mutualistic functions governed by the microbiota of this important pollinator, our findings indicate that the honey bee can serve as a model for understanding more complex gut-associated microbial communities.",,Metagenomic,Koshiq Hossain,
Identification of Kudoa Septempunctata as the Causative Agent of Novel Food Poisoning Outbreaks in Japan by Consumption of Paralichthys Olivaceus in Raw Fish,PRJDA53873,26/1/2012,"Takao Kawai,Takahiro Ohnishi","Takao Kawai 1, Tsuyoshi Sekizuka, Yuichiro Yahata, Makoto Kuroda, Yuko Kumeda, Yoshio Iijima, Yoichi Kamata, Yoshiko Sugita-Konishi, Takahiro Ohnishi",Oxford Academic,"fish metagenome,fish gut metagenomes,Food safety,bacterial infections",https://academic.oup.com/cid/article/54/8/1046/364119,,"Background. Outbreaks of an unidentified food-borne illness associated with the consumption of raw fish have increased in Japan since 2003. Those affected with this illness develop diarrhea and emesis within 2–20 hours after a meal including raw fish. No known causative agents such as bacteria, viruses, bacterial toxins, or toxic chemicals have been detected in the foods that were ingested. Fortunately, this illness is self-limiting with good prognosis in all cases.

Methods. We conducted an epidemiological analysis of outbreaks that occurred during 2008 and 2010 and analysed a fish sample from one outbreak by metagenomic DNA sequencing, real-time polymerase chain reaction, and direct microscopic observations. The pathogenicity of a putative risk factor identified by these techniques was assessed using the suckling-mouse test and a house musk shrew emetic assay.

Results. The epidemiological analysis of outbreaks in 24 municipalities involving >1300 subjects implicated an olive flounder (Paralichthys olivaceus) as the causative food source. The presence of Kudoa septempunctata, a recently-described myxosporean species in P. olivaceus, was prevalent in the causative foods. K. septempunctata induced watery stools and an elevated fluid accumulation ratio in suckling mice, as well as vomiting in house musk shrews.

Conclusions. These results identify K. septempunctata as the etiological agent of this novel food-borne illness outbreak associated with consumption of raw P. olivaceus. This is the first report, to our knowledge, demonstrating the human pathogenicity of Kudoa spores.",,Metagenomic,Koshiq Hossain,
Meta-omic characterization of the marine invertebrate microbial consortium that produces the chemotherapeutic natural product ET-743.,PRJNA53919,19/9/2011,"Rath CM,Sherman DH","Rath CM1, Janto B, Earl J, Ahmed A, Hu FZ, Hiller L, Dahlgren M, Kreft R, Yu F, Wolff JJ, Kweon HK, Christiansen MA, Håkansson K, Williams RM, Ehrlich GD, Sherman DH",ACS Chemical Biology,"Water Microbiology,wastewater metagenome",https://europepmc.org/article/pmc/pmc3220770,,"In many macroorganisms, the ultimate source of potent biologically active natural products has remained elusive due to an inability to identify and culture the producing symbiotic microorganisms. As a model system for developing a meta-omic approach to identify and characterize natural product pathways from invertebrate-derived microbial consortia, we chose to investigate the ET-743 (Yondelis) biosynthetic pathway. This molecule is an approved anticancer agent obtained in low abundance (10(-4)-10(-5) % w/w) from the tunicate Ecteinascidia turbinata and is generated in suitable quantities for clinical use by a lengthy semisynthetic process. On the basis of structural similarities to three bacterial secondary metabolites, we hypothesized that ET-743 is the product of a marine bacterial symbiont. Using metagenomic sequencing of total DNA from the tunicate/microbial consortium, we targeted and assembled a 35 kb contig containing 25 genes that comprise the core of the NRPS biosynthetic pathway for this valuable anticancer agent. Rigorous sequence analysis based on codon usage of two large unlinked contigs suggests that Candidatus Endoecteinascidia frumentensis produces the ET-743 metabolite. Subsequent metaproteomic analysis confirmed expression of three key biosynthetic proteins. Moreover, the predicted activity of an enzyme for assembly of the tetrahydroisoquinoline core of ET-743 was verified in vitro. This work provides a foundation for direct production of the drug and new analogues through metabolic engineering. We expect that the interdisciplinary approach described is applicable to diverse host-symbiont systems that generate valuable natural products for drug discovery and development.",,Metagenomic,Koshiq Hossain,
Assessment of the Deepwater Horizon oil spill impact on Gulf coast microbial communities,PRJNA53921,3/4/2014,"Regina Lamendella,Janet K. Jansson","Regina Lamendella1,2*, Steven Strutt2, Sharon Borglin1, Romy Chakraborty1, Neslihan Tas1, Olivia U. Mason1,3, Jenni Hultman1,4, Emmanuel Prestat1, Terry C. Hazen1,5,6 and Janet K. Jansson1,7",Frontiers in Microbiology,"Water Microbiology,water pollution,Wastewater treatment,wastewater metagenome",https://www.frontiersin.org/articles/10.3389/fmicb.2014.00130/full,,"One of the major environmental concerns of the Deepwater Horizon oil spill in the Gulf of Mexico was the ecological impact of the oil that reached shorelines of the Gulf Coast. Here we investigated the impact of the oil on the microbial composition in beach samples collected in June 2010 along a heavily impacted shoreline near Grand Isle, Louisiana. Successional changes in the microbial community structure due to the oil contamination were determined by deep sequencing of 16S rRNA genes. Metatranscriptomics was used to determine expression of functional genes involved in hydrocarbon degradation processes. In addition, potential hydrocarbon-degrading Bacteria were obtained in culture. The 16S data revealed that highly contaminated samples had higher abundances of Alpha- and Gammaproteobacteria sequences. Successional changes in these classes were observed over time, during which the oil was partially degraded. The metatranscriptome data revealed that PAH, n-alkane, and toluene degradation genes were expressed in the contaminated samples, with high homology to genes from Alteromonadales, Rhodobacterales, and Pseudomonales. Notably, Marinobacter (Gammaproteobacteria) had the highest representation of expressed genes in the samples. A Marinobacter isolated from this beach was shown to have potential for transformation of hydrocarbons in incubation experiments with oil obtained from the Mississippi Canyon Block 252 (MC252) well; collected during the Deepwater Horizon spill. The combined data revealed a response of the beach microbial community to oil contaminants, including prevalence of Bacteria endowed with the functional capacity to degrade oil.",,"Metagenomic,16S/ITS Amplicon",Koshiq Hossain,
Metagenomic Analysis of the Bioremediation of Diesel-Contaminated Canadian High Arctic Soils,PRJNA56113,11/1/2012,"Etienne Yergeau,Charles W. Greer","Etienne Yergeau, * Sylvie Sanschagrin, Danielle Beaumier, and Charles W. Greer",Plos One,"soil,soil metagenome,Water Microbiology",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3256217/,,"As human activity in the Arctic increases, so does the risk of hydrocarbon pollution events. On site bioremediation of contaminated soil is the only feasible clean up solution in these remote areas, but degradation rates vary widely between bioremediation treatments. Most previous studies have focused on the feasibility of on site clean-up and very little attention has been given to the microbial and functional communities involved and their ecology. Here, we ask the question: which microorganisms and functional genes are abundant and active during hydrocarbon degradation at cold temperature? To answer this question, we sequenced the soil metagenome of an ongoing bioremediation project in Alert, Canada through a time course. We also used reverse-transcriptase real-time PCR (RT-qPCR) to quantify the expression of several hydrocarbon-degrading genes. Pseudomonas species appeared as the most abundant organisms in Alert soils right after contamination with diesel and excavation (t = 0) and one month after the start of the bioremediation treatment (t = 1m), when degradation rates were at their highest, but decreased after one year (t = 1y), when residual soil hydrocarbons were almost depleted. This trend was also reflected in hydrocarbon degrading genes, which were mainly affiliated with Gammaproteobacteria at t = 0 and t = 1m and with Alphaproteobacteria and Actinobacteria at t = 1y. RT-qPCR assays confirmed that Pseudomonas and Rhodococcus species actively expressed hydrocarbon degradation genes in Arctic biopile soils. Taken together, these results indicated that biopile treatment leads to major shifts in soil microbial communities, favoring aerobic bacteria that can degrade hydrocarbons.",,Metagenomic,Koshiq Hossain,
In-feed antibiotic effects on the swine intestinal microbiome,PRJNA59781,31/1/2012,"Torey Looft,Thad B. Stanton","Torey Looft, Timothy A. Johnson, Heather K. Allen, Darrell O. Bayles, David P. Alt, Robert D. Stedtfeld, Woo Jun Sul, Tiffany M. Stedtfeld, Benli Chai, James R. Cole, Syed A. Hashsham, James M. Tiedje, and Thad B. Stanton",PNAS,"Gut Microbiome,gut microbiota,Metagenome",https://www.pnas.org/content/109/5/1691,,"Antibiotics have been administered to agricultural animals for disease treatment, disease prevention, and growth promotion for over 50 y. The impact of such antibiotic use on the treatment of human diseases is hotly debated. We raised pigs in a highly controlled environment, with one portion of the littermates receiving a diet containing performance-enhancing antibiotics [chlortetracycline, sulfamethazine, and penicillin (known as ASP250)] and the other portion receiving the same diet but without the antibiotics. We used phylogenetic, metagenomic, and quantitative PCR-based approaches to address the impact of antibiotics on the swine gut microbiota. Bacterial phylotypes shifted after 14 d of antibiotic treatment, with the medicated pigs showing an increase in Proteobacteria (1–11%) compared with nonmedicated pigs at the same time point. This shift was driven by an increase in Escherichia coli populations. Analysis of the metagenomes showed that microbial functional genes relating to energy production and conversion were increased in the antibiotic-fed pigs. The results also indicate that antibiotic resistance genes increased in abundance and diversity in the medicated swine microbiome despite a high background of resistance genes in nonmedicated swine. Some enriched genes, such as aminoglycoside O-phosphotransferases, confer resistance to antibiotics that were not administered in this study, demonstrating the potential for indirect selection of resistance to classes of antibiotics not fed. The collateral effects of feeding subtherapeutic doses of antibiotics to agricultural animals are apparent and must be considered in cost-benefit analyses.",,Metagenomic,Koshiq Hossain,
Metagenomic Discovery of Biomass-Degrading Genes and Genomes From Cow Rumen,PRJNA60251,28/1/2011,"Matthias Hess,Edward M Rubin","Matthias Hess 1, Alexander Sczyrba, Rob Egan, Tae-Wan Kim, Harshal Chokhawala, Gary Schroth, Shujun Luo, Douglas S Clark, Feng Chen, Tao Zhang, Roderick I Mackie, Len A Pennacchio, Susannah G Tringe, Axel Visel, Tanja Woyke, Zhong Wang, Edward M Rubin",Science,"Enzyme,DNA,Metagenome,Gene,cow,Rumen",http://www.sciencemag.org/cgi/pmidlookup?view=long&pmid=21273488,,"The paucity of enzymes that efficiently deconstruct plant polysaccharides represents a major bottleneck for industrial-scale conversion of cellulosic biomass into biofuels. Cow rumen microbes specialize in degradation of cellulosic plant material, but most members of this complex community resist cultivation. To characterize biomass-degrading genes and genomes, we sequenced and analyzed 268 gigabases of metagenomic DNA from microbes adherent to plant fiber incubated in cow rumen. From these data, we identified 27,755 putative carbohydrate-active genes and expressed 90 candidate proteins, of which 57% were enzymatically active against cellulosic substrates. We also assembled 15 uncultured microbial genomes, which were validated by complementary methods including single-cell genome sequencing. These data sets provide a substantially expanded catalog of genes and genomes participating in the deconstruction of cellulosic biomass.",,Metagenomic,Koshiq Hossain,
Three Novel Virophage Genomes Discovered From Yellowstone Lake Metagenomes,PRJNA60433,15/1/2015,"Jinglie Zhou,Mark R Liles","Jinglie Zhou 1, Dawei Sun 2, Alyson Childers 3, Timothy R McDermott 4, Yongjie Wang 5, Mark R Liles 6",Journal of Virology,"microbiota,Virus,DNA,Water Microbiology",https://jvi.asm.org/content/89/2/1278.long,,"Virophages are a unique group of circular double-stranded DNA viruses that are considered parasites of giant DNA viruses, which in turn are known to infect eukaryotic hosts. In this study, the genomes of three novel Yellowstone Lake virophages (YSLVs)—YSLV5, YSLV6, and YSLV7—were identified from Yellowstone Lake through metagenomic analyses. The relative abundance of these three novel virophages and previously identified Yellowstone Lake virophages YSLV1 to -4 were determined in different locations of the lake, revealing that most of the sampled locations in the lake, including both mesophilic and thermophilic habitats, had multiple virophage genotypes. This likely reflects the diverse habitats or diversity of the eukaryotic hosts and their associated giant viruses that serve as putative hosts for these virophages. YSLV5 has a 29,767-bp genome with 32 predicted open reading frames (ORFs), YSLV6 has a 24,837-bp genome with 29 predicted ORFs, and YSLV7 has a 23,193-bp genome with 26 predicted ORFs. Based on multilocus phylogenetic analysis, YSLV6 shows a close evolutionary relationship with YSLV1 to -4, whereas YSLV5 and YSLV7 are distantly related to the others, and YSLV7 represents the fourth novel virophage lineage. In addition, the genome of YSLV5 has a G+C content of 51.1% that is much higher than all other known virophages, indicating a unique host range for YSLV5. These results suggest that virophages are abundant and have diverse genotypes that likely mirror diverse giant viral and eukaryotic hosts within the Yellowstone Lake ecosystem.

IMPORTANCE This study discovered novel virophages present within the Yellowstone Lake ecosystem using a conserved major capsid protein as a phylogenetic anchor for assembly of sequence reads from Yellowstone Lake metagenomic samples. The three novel virophage genomes (YSLV5 to -7) were completed by identifying specific environmental samples containing these respective virophages, and closing gaps by targeted PCR and sequencing. Most of the YSLV genotypes were associated primarily with photic-zone and nonhydrothermal samples; however, YSLV5 had a unique distribution with an occurrence in vent samples similar to that in photic-zone samples and with a higher GC content that suggests a distinct host and habitat compared to other YSLVs. In addition, genome content and phylogenetic analyses indicate that YSLV5 and YSLV7 are distinct from known virophages and that additional as-yet-uncharacterized virophages are likely present within the Yellowstone Lake ecosystem.",,Metagenomic,Koshiq Hossain,
Sequencing and Analysis of Neanderthal Genomic DNA,PRJNA18311,17/11/2006,"James P. Noonan,Edward M Rubin","U.S. Department of Energy Joint Genome Institute, 2800 Mitchell Drive, Walnut Creek, CA 94598, USA.",Science,"Neanderthals,DNA,Evolution",https://science.sciencemag.org/content/314/5802/1113.long,,"Our knowledge of Neanderthals is based on a limited number of remains and artifacts from which we must make inferences about their biology, behavior, and relationship to ourselves. Here, we describe the characterization of these extinct hominids from a new perspective, based on the development of a Neanderthal metagenomic library and its high-throughput sequencing and analysis. Several lines of evidence indicate that the 65,250 base pairs of hominid sequence so far identified in the library are of Neanderthal origin, the strongest being the ascertainment of sequence identities between Neanderthal and chimpanzee at sites where the human genomic sequence is different. These results enabled us to calculate the human-Neanderthal divergence time based on multiple randomly distributed autosomal loci. Our analyses suggest that on average the Neanderthal genomic sequence we obtained and the reference human genome sequence share a most recent common ancestor approximately 706,000 years ago, and that the human and Neanderthal ancestral populations split approximately 370,000 years ago, before the emergence of anatomically modern humans. Our finding that the Neanderthal and human genomes are at least 99.5% identical led us to develop and successfully implement a targeted method for recovering specific ancient DNA sequences from metagenomic libraries. This initial analysis of the Neanderthal genome advances our understanding of the evolutionary relationship of Homo sapiens and Homo neanderthalensis and signifies the dawn of Neanderthal genomics.",,Metagenomic,Aqib Rahim,
