,assembled,sample_id,project_id,TMDB_material,creation_date,average_length,sequence_count,basepairs_count,source_database,mean_quality_SRA,quality_above_30_SRA,sample_collection_date,TMDB_biome,project_name,seq_platform,sample_depth,sample_latitude,sample_location,sample_longitude,TMDB_water_location,TMDB_water_type,TMDB_soil_condition,sample_elevation,TMDB_water_condition,TMDB_organic_material,TMDB_soil_type,TMDB_other_material,TMDB_anthropogenic_material,TMDB_soil_location,TMDB_gas,TMDB_sediment,TMDB_sludge,sample_ph,sample_temp
SRR077763,No,SRS150228,SRX033215,water,2010-12-13,433.0,504251.0,218570425.0,SRA,28.54,53.0,,,Environmental samples from Yellowstone Lake,LS454,,,,,,,,,,,,,,,,,,,
SRR078854,Yes,SRS150248,SRX033253,water,2010-12-13,619.0,193792.0,120030947.0,SRA,19.09,19.0,,,Environmental samples from Yellowstone Lake,LS454,,,,,,,,,,,,,,,,,,,
SRR078855,No,SRS150249,SRX033254,water,2010-12-13,473.0,420663.0,198895081.0,SRA,24.43,39.0,,,Environmental samples from Yellowstone Lake,LS454,,,,,,,,,,,,,,,,,,,
SRR094668,No,SRS153030,SRX038779,sludge,2012-01-17,564.0,322742.0,182163340.0,SRA,23.12,39.0,,,Phylogenetic and metabolic diversity of a metagenomic library from a petroleum refinery wastewater treatment plant using 454-pyrosequencing technology,LS454,,,,,,,,,,petroleum,,,,,,,,,
SRR099552,No,SRS172126,SRX041231,sediment,2011-10-11,526.0,394582.0,207399868.0,SRA,30.25,61.0,2008-07-16,,A metagenomic study of methanotrophic microorganisms in Coal Oil Point seep sediments,LS454,0.02,,,,,,,,,oil,,coal,,,,,,,
SRR099553,No,SRS172126,SRX041231,sediment,2011-10-11,595.0,958.0,569661.0,SRA,24.17,38.0,2008-07-16,,A metagenomic study of methanotrophic microorganisms in Coal Oil Point seep sediments,LS454,0.02,,,,,,,,,oil,,coal,,,,,,,
SRR099554,No,SRS172127,SRX041232,sediment,2011-10-11,529.0,282275.0,149237585.0,SRA,30.17,60.0,2008-07-16,,A metagenomic study of methanotrophic microorganisms in Coal Oil Point seep sediments,LS454,0.125,,,,,,,,,oil,,coal,,,,,,,
SRR099555,No,SRS172127,SRX041232,sediment,2011-10-11,580.0,689.0,399839.0,SRA,24.72,40.0,2008-07-16,,A metagenomic study of methanotrophic microorganisms in Coal Oil Point seep sediments,LS454,0.125,,,,,,,,,oil,,coal,,,,,,,
SRR1010317,Not inferred,SRS490054,SRX363390,soil,2014-02-04,143.0,4983647.0,714223843.0,SRA,26.22,45.0,,,Stordalen mire environmental genomics Metagenome,ION_TORRENT,,68.3523,Sweden,19.0474,,,permafrost,,,,,,,,,,,,
SRR1022348,No,SRS497159,SRX371696,sediment; sludge; water,2015-07-22,200.0,14880673.0,2976134600.0,SRA,33.9,87.0,,,Diverse Environmental Samples Metagenome,ILLUMINA,,,,,river water,,,,,,,,,,,,activated sludge,,
SRR1022351,No,SRS497162,SRX371698,sediment; sludge; water,2015-07-22,200.0,15366440.0,3073288000.0,SRA,34.19,87.0,,,Diverse Environmental Samples Metagenome,ILLUMINA,,,,,river water,,,,,,,,,,,,activated sludge,,
SRR1022373,No,SRS497169,SRX371707,sediment; sludge; water,2015-07-22,200.0,13981282.0,2796256400.0,SRA,34.1,88.0,,,Diverse Environmental Samples Metagenome,ILLUMINA,,,,,river water,,,,,,,,,,,,activated sludge,,
SRR1022378,No,SRS497167,SRX371703,sediment; sludge; water,2015-07-22,200.0,14944760.0,2988952000.0,SRA,34.49,89.0,,,Diverse Environmental Samples Metagenome,ILLUMINA,,,,,river water,,,,,,,,,,,,activated sludge,,
SRR1022653,No,SRS497392,SRX371704,soil,2013-12-09,202.0,14389397.0,2906658194.0,SRA,32.74,83.0,2011-08-25,grassland,F2U Metagenome,ILLUMINA,0.04,,China,,,,,4996.0,,,,,,farm soil,,,,,
SRR1022935,No,SRS497473,SRX372043,soil,2013-12-09,202.0,7758229.0,1567162258.0,SRA,32.57,83.0,2011-08-25,grassland,F2U Metagenome,ILLUMINA,0.19,,China,,,,,4996.0,,,,,,farm soil,,,,,
SRR1023042,No,SRS497554,SRX372104,,2014-11-01,100.0,35999679.0,3599967900.0,SRA,36.98,95.0,,grassland; temperate grassland,Metagenome of Drosophila and their parasitoid wasps species,ILLUMINA,,,Brazil,,,,,,,,,,,,,,,,
SRR1023222,No,SRS497705,SRX372282,soil,2013-12-09,202.0,18112219.0,3658668238.0,SRA,32.5,82.0,2011-08-25,grassland,F2U Metagenome,ILLUMINA,0.04,,China,,,,,4295.0,,,,,,farm soil,,,,,
SRR1023760,No,SRS498366,SRX372804,soil,2013-12-09,202.0,12409025.0,2506623050.0,SRA,32.21,82.0,2011-08-25,grassland,F2U Metagenome,ILLUMINA,0.04,,China,,,,,4447.0,,,,,,farm soil,,,,,
SRR1024100,No,SRS498613,SRX373189,soil,2013-12-09,202.0,20770129.0,4195566058.0,SRA,32.42,82.0,2011-08-25,grassland,F2U Metagenome,ILLUMINA,0.04,,China,,,,,4447.0,,,,,,farm soil,,,,,
SRR1024104,No,SRS498629,SRX373192,soil,2013-12-09,202.0,22134691.0,4471207582.0,SRA,32.61,83.0,2011-08-25,grassland,F2U Metagenome,ILLUMINA,0.19,,China,,,,,4295.0,,,,,,farm soil,,,,,
SRR1025217,No,SRS498901,SRX373544,soil,2013-12-09,202.0,12840682.0,2593817764.0,SRA,32.59,83.0,2011-08-25,,F2U Metagenome,ILLUMINA,0.04,,China,,,,,4270.0,,,,,,farm soil,,,,,
SRR1025218,No,SRS498902,SRX373545,soil,2013-12-09,202.0,20492402.0,4139465204.0,SRA,32.49,82.0,2011-08-25,,F2U Metagenome,ILLUMINA,0.19,,China,,,,,4270.0,,,,,,farm soil,,,,,
SRR1026843,No,SRS499905,SRX374551,soil,2013-12-09,202.0,11907986.0,2405413172.0,SRA,22.5,52.0,2011-08-25,,F2U Metagenome,ILLUMINA,0.19,,China,,,,,3690.0,,,,,,farm soil,,,,,
SRR1026845,No,SRS499906,SRX374552,soil,2013-12-09,202.0,14052582.0,2838621564.0,SRA,32.39,82.0,2011-08-25,,F2U Metagenome,ILLUMINA,0.04,,China,,,,,3693.0,,,,,,farm soil,,,,,
SRR1026846,No,SRS499911,SRX374555,soil,2013-12-09,202.0,16913852.0,3416598104.0,SRA,32.24,82.0,2011-08-25,,F2U Metagenome,ILLUMINA,0.19,,China,,,,,3693.0,,,,,,farm soil,,,,,
SRR1026847,No,SRS499929,SRX374561,soil,2013-12-09,202.0,9934534.0,2006775868.0,SRA,22.92,54.0,2011-08-25,,F2U Metagenome,ILLUMINA,0.04,,China,,,,,4740.0,,,,,,farm soil,,,,,
SRR1026848,No,SRS499930,SRX374562,soil,2013-12-09,202.0,16308017.0,3294219434.0,SRA,22.8,53.0,2011-08-25,,F2U Metagenome,ILLUMINA,0.19,,China,,,,,4740.0,,,,,,farm soil,,,,,
SRR1026849,No,SRS499931,SRX374563,soil,2013-12-09,202.0,36907235.0,7455261470.0,SRA,24.59,60.0,2011-08-25,grassland,F2U Metagenome,ILLUMINA,0.04,,China,,,,,4447.0,,,,,,farm soil,,,,,
SRR1026851,No,SRS499932,SRX374564,soil,2013-12-09,202.0,12702437.0,2565892274.0,SRA,24.76,59.0,2011-08-25,grassland,F2U Metagenome,ILLUMINA,0.19,,China,,,,,4447.0,,,,,,farm soil,,,,,
SRR1026852,No,SRS499933,SRX374565,soil,2013-12-09,202.0,16805570.0,3394725140.0,SRA,22.93,53.0,2011-08-25,grassland,F2U Metagenome,ILLUMINA,0.04,,China,,,,,4996.0,,,,,,farm soil,,,,,
SRR1026853,No,SRS499934,SRX374566,soil,2013-12-09,202.0,18598111.0,3756818422.0,SRA,23.15,54.0,2011-08-25,grassland,F2U Metagenome,ILLUMINA,0.19,,China,,,,,4996.0,,,,,,farm soil,,,,,
SRR1026854,No,SRS499935,SRX374567,soil,2013-12-09,202.0,13273423.0,2681231446.0,SRA,32.63,83.0,2011-08-25,grassland,F2U Metagenome,ILLUMINA,0.04,,China,,,,,4308.0,,,,,,farm soil,,,,,
SRR1026855,No,SRS499936,SRX374568,soil,2013-12-09,202.0,22833987.0,4612465374.0,SRA,32.24,82.0,2011-08-25,grassland,F2U Metagenome,ILLUMINA,0.19,,China,,,,,4308.0,,,,,,farm soil,,,,,
SRR1026856,No,SRS497747,SRX371695,soil,2013-12-10,202.0,12129490.0,2450156980.0,SRA,22.75,53.0,2011-08-25,,F2U Metagenome,ILLUMINA,0.04,,China,,,,,3690.0,,,,,,farm soil,,,,,
SRR1027557,No,SRS493612,SRX375108,soil,2013-11-08,150.0,1692055.0,253808250.0,SRA,31.64,79.0,2009-09-01,,Canadian MetaMicrobiome Library Projects,ILLUMINA,,43.6408,Canada,-80.4097,,,,,,,,,,,,,,,
SRR1029957,No,SRS502313,SRX377439,soil; water,2015-07-22,180.0,33450001.0,6021000180.0,SRA,35.78,93.0,,,Wetland samples Metagenome,ILLUMINA,,,,,,,,,,,,,,,,,,,
SRR1046369,No,SRS513284,SRX389533,water,2014-08-12,206.0,14699402.0,3028076812.0,SRA,29.51,71.0,2011-01-25,,Systems Biology of Lipid Accumulating Organisms,ILLUMINA,0.0,49.5134,Luxembourg,6.0179,,,,,,,,,,,,,,6.9,0.0
SRR1047946,No,SRS513975,SRX390512,water,2015-07-22,200.0,5953508.0,1190701600.0,SRA,32.99,83.0,,,Drinking water Metagenome,ILLUMINA,,,,,,drinking water,,,,,,,,,,,,,
SRR1047947,No,SRS513976,SRX390513,water,2015-07-22,200.0,5959029.0,1191805800.0,SRA,31.52,79.0,,,Drinking water Metagenome,ILLUMINA,,,,,,drinking water,,,,,,,,,,,,,
SRR1047948,No,SRS513977,SRX390514,water,2015-07-22,200.0,14392001.0,2878400200.0,SRA,34.83,89.0,,,Drinking water Metagenome,ILLUMINA,,,,,,drinking water,,,,,,,,,,,,,
SRR1047949,No,SRS513978,SRX390515,water,2015-07-22,200.0,15629214.0,3125842800.0,SRA,32.95,83.0,,,Drinking water Metagenome,ILLUMINA,,,,,,drinking water,,,,,,,,,,,,,
SRR1068202,No,SRS523962,SRX404361,sludge,2015-07-22,200.0,63036813.0,12607362600.0,SRA,32.79,83.0,2008-08-24,,Granular sludge Metagenome,ILLUMINA,,-27.486,Australia,153.1907,,,,,,,,,,,,,activated sludge,,
SRR1106555,No,SRS528967,SRX425312,sludge,2015-01-07,410.0,9569.0,3927356.0,SRA,32.26,67.0,,,activated sludge metagenome,LS454,,,,,,,,,,,,,,,,,activated sludge,,
SRR1106556,No,SRS528968,SRX425313,sludge,2015-01-07,470.0,12485.0,5868115.0,SRA,34.99,81.0,,,activated sludge metagenome,LS454,,,,,,,,,,,,,,,,,activated sludge,,
SRR1106557,No,SRS528969,SRX425314,sludge,2015-01-07,469.0,12171.0,5702447.0,SRA,35.1,81.0,,,activated sludge metagenome,LS454,,,,,,,,,,,,,,,,,activated sludge,,
SRR1106558,No,SRS528970,SRX425315,sludge,2015-01-07,474.0,12168.0,5771031.0,SRA,35.08,81.0,,,activated sludge metagenome,LS454,,,,,,,,,,,,,,,,,activated sludge,,
SRR1106700,No,SRS529881,SRX425455,water,2015-01-07,101.0,15575704.0,1573146104.0,SRA,34.31,85.0,,,Illumina shotgun sequencing reads from four municipal sewage wastewater treatment plants Metagenome,ILLUMINA,,,China,,,,,,,sewage,,,,,,,,,
SRR1106701,No,SRS529882,SRX425457,sludge,2015-01-07,101.0,12472820.0,1259754820.0,SRA,33.22,81.0,,,Illumina shotgun sequencing reads from four municipal sewage wastewater treatment plants Metagenome,ILLUMINA,,,China,,,,,,,sewage,,,,,,,activated sludge,,
SRR1106703,No,SRS529884,SRX425459,water,2015-01-07,101.0,16538832.0,1670422032.0,SRA,34.58,86.0,,,Illumina shotgun sequencing reads from four municipal sewage wastewater treatment plants Metagenome,ILLUMINA,,,China,,,,,,,sewage,,,,,,,,,
SRR1106705,No,SRS529887,SRX425461,water,2015-01-07,101.0,19831606.0,2002992206.0,SRA,34.26,85.0,,,Illumina shotgun sequencing reads from four municipal sewage wastewater treatment plants Metagenome,ILLUMINA,,,China,,,,,,,sewage,,,,,,,,,
SRR1106773,No,SRS529932,SRX425469,water,2015-01-07,101.0,27169458.0,2744115258.0,SRA,34.93,87.0,,,Illumina shotgun sequencing reads from four municipal sewage wastewater treatment plants Metagenome,ILLUMINA,,,China,,,,,,,sewage,,,,,,,,,
SRR1106873,No,SRS529943,SRX425523,sludge,2015-01-07,299.0,6781772.0,2028248306.0,SRA,33.53,81.0,,,Illumina shotgun sequencing reads from four municipal sewage wastewater treatment plants Metagenome,ILLUMINA,,,China,,,,,,,sewage,,,,,,,activated sludge,,
SRR1106874,No,SRS529944,SRX425563,water,2015-01-07,101.0,18916952.0,1910612152.0,SRA,34.23,85.0,,,Illumina shotgun sequencing reads from four municipal sewage wastewater treatment plants Metagenome,ILLUMINA,,,China,,,,,,,sewage,,,,,,,,,
SRR1119654,Yes,SRS534346,SRX434201,soil,2015-06-30,1035.0,130726.0,135281888.0,SRA,25.17,40.0,,,Scheyern-soil Metagenome,LS454,0.05,,Germany,,,,,450.0,,,,,glass,agricultural soil,,,,6.3,
SRR1119965,Yes,SRS534506,SRX434361,soil,2015-06-30,1034.0,129916.0,134348227.0,SRA,25.22,40.0,,,Scheyern-soil Metagenome,LS454,0.05,,Germany,,,,,450.0,,,,,glass,agricultural soil,,,,6.3,
SRR1120008,Yes,SRS534532,SRX434387,soil,2015-06-30,1036.0,184890.0,191622004.0,SRA,25.26,40.0,,,Scheyern-soil Metagenome,LS454,0.05,,Germany,,,,,450.0,,,,,glass,agricultural soil,,,,6.3,
SRR1120011,Yes,SRS534535,SRX434390,soil,2015-06-30,1032.0,226876.0,234028644.0,SRA,25.15,40.0,,,Scheyern-soil Metagenome,LS454,0.05,,Germany,,,,,450.0,,,,,glass,agricultural soil,,,,6.3,
SRR1120013,Yes,SRS534538,SRX434393,soil,2015-06-30,1029.0,226771.0,233405032.0,SRA,25.08,39.0,,,Scheyern-soil Metagenome,LS454,0.05,,Germany,,,,,450.0,,,,,glass,agricultural soil,,,,6.3,
SRR1120014,Yes,SRS534540,SRX434395,soil,2015-06-30,1041.0,199436.0,207674594.0,SRA,24.91,39.0,,,Scheyern-soil Metagenome,LS454,0.05,,Germany,,,,,450.0,,,,,glass,agricultural soil,,,,6.3,
SRR1144626,No,SRS543505,SRX449873,water,2015-07-22,200.0,17540000.0,3508000000.0,SRA,33.93,86.0,2012-08-20,,Hydrogenotrophic denitrifying consortium Metagenome,ILLUMINA,,22.28,Hong Kong,114.14,,,,,,,,,,,,,,,
SRR1144841,No,SRS543595,SRX450092,sludge,2014-06-06,202.0,35438248.0,7141549089.0,SRA,34.54,89.0,2013-01-07,,Metagenomic datasets of activated sludge samples,ILLUMINA,,31.3,China,121.5,,,,,,sewage,,,,,,,activated sludge,,
SRR1145849,No,SRS544428,SRX451093,sludge,2015-06-06,202.0,30702043.0,6201812686.0,SRA,35.38,91.0,2013-01-07,,Metagenomic datasets of activated sludge samples,ILLUMINA,,31.3,China,121.5,,,,,,sewage,,,,,,,activated sludge,,
SRR1145888,No,SRS544436,SRX451135,sludge,2015-06-06,202.0,29167563.0,5891847726.0,SRA,35.61,92.0,2013-01-07,,Metagenomic datasets of activated sludge samples,ILLUMINA,,31.3,China,121.5,,,,,,sewage,,,,,,,activated sludge,,
SRR1145916,No,SRS544439,SRX451165,sludge,2015-06-06,202.0,36873995.0,7448546990.0,SRA,35.41,91.0,2013-01-07,,Metagenomic datasets of activated sludge samples,ILLUMINA,,31.3,China,121.5,,,,,,sewage,,,,,,,activated sludge,,
SRR1146621,Not inferred,SRS544878,SRX451755,water,2015-07-23,151.0,4067416.0,613026976.0,SRA,27.52,52.0,2012-09-21,,James River Metagenome,ION_TORRENT,0.5,37.5279,United States of America,-77.4361,,,,,,,,,,,,,,,
SRR1152189,No,SRS549580,SRX457088,soil,2014-06-09,200.0,192331907.0,38466381400.0,SRA,28.16,69.0,,,PUNCS,ILLUMINA,,40.296,Cuba,-89.944,,,,,,,,,,agricultural soil,,,,,
SRR1153387,No,SRS549921,SRX457661,soil,2014-06-09,202.0,199389385.0,40276655770.0,SRA,31.63,79.0,,,PUNCS,ILLUMINA,,40.075,,-88.242,,,,,,,,,,agricultural soil,,,,,
SRR1157607,No,SRS551004,SRX461673,soil,2014-02-10,200.0,27629264.0,5525852800.0,SRA,36.17,96.0,2012-02-10,forest,SPRUCE microbial community Metagenome,ILLUMINA,,47.5062,,-93.4543,,,,,,,,,,peat soil,,,,,
SRR1157608,No,SRS551004,SRX461673,soil,2014-02-10,200.0,52421485.0,10484297000.0,SRA,36.04,96.0,2012-02-10,forest,SPRUCE microbial community Metagenome,ILLUMINA,,47.5062,,-93.4543,,,,,,,,,,peat soil,,,,,
SRR1157609,No,SRS551057,SRX461727,soil,2014-02-10,200.0,52421485.0,10484297000.0,SRA,36.04,96.0,2012-02-10,forest,SPRUCE microbial community Metagenome,ILLUMINA,,47.5062,,-93.4543,,,,,,,,,,,,,,,
SRR1157614,No,SRS551062,SRX461732,soil,2014-02-10,200.0,24160213.0,4832042600.0,SRA,33.2,85.0,2012-02-10,forest,SPRUCE microbial community Metagenome,ILLUMINA,,47.5062,,-93.4543,,,,,,,,,,,,,,,
SRR1157615,No,SRS551063,SRX461733,soil,2014-02-10,200.0,23066660.0,4613332000.0,SRA,33.25,85.0,2012-02-10,forest,SPRUCE microbial community Metagenome,ILLUMINA,,47.5061,,-93.4527,,,,,,,,,,,,,,,
SRR1157616,No,SRS551064,SRX461734,soil,2014-02-10,200.0,29677790.0,5935558000.0,SRA,33.06,84.0,2012-02-10,forest,SPRUCE microbial community Metagenome,ILLUMINA,,47.505,,-93.48899999999999,,,,,,,,,,,,,,,
SRR1157617,No,SRS551065,SRX461735,soil,2014-02-10,200.0,22441761.0,4488352200.0,SRA,33.7,86.0,2012-02-10,forest,SPRUCE microbial community Metagenome,ILLUMINA,,47.505,,-93.48899999999999,,,,,,,,,,,,,,,
SRR1167685,No,SRS497551,SRX372125,,2014-11-01,100.0,29829750.0,2982975000.0,SRA,36.68,94.0,,grassland; temperate grassland,Metagenome of Drosophila and their parasitoid wasps species,ILLUMINA,,,Brazil,,,,,,,,,,,,,,,,
SRR1167686,No,SRS497554,SRX372128,,2014-11-01,100.0,30912162.0,3091216200.0,SRA,36.86,95.0,,grassland; temperate grassland,Metagenome of Drosophila and their parasitoid wasps species,ILLUMINA,,,Brazil,,,,,,,,,,,,,,,,
SRR1168413,No,SRS555006,SRX472779,soil,2015-02-07,202.0,15856727.0,3203058854.0,SRA,35.77,93.0,2013-01-27,,Alkaline sodic soil metagenome,ILLUMINA,1.0,38.7,China,117.5,,,contaminated soil,0.0,,oil,,,,,,,,,
SRR1168459,No,SRS555006,SRX467340,soil,2015-02-07,302.0,10332490.0,3120411980.0,SRA,31.39,73.0,2013-01-27,,Alkaline sodic soil metagenome,ILLUMINA,1.0,38.7,China,117.5,,,contaminated soil,0.0,,oil,,,,,,,,,
SRR1168486,No,SRS556165,SRX468856,sludge,2015-02-10,600.0,8550873.0,5130523800.0,SRA,33.26,81.0,2013-09-01,,activated sludge metagenome,ILLUMINA,,32.6563,United States of America,-90.2093,,,,,,biosolids,,,,,,,activated sludge,,
SRR1168487,No,SRS556167,SRX468857,sludge,2015-02-10,600.0,8996868.0,5398120800.0,SRA,33.24,81.0,2013-12-01,,activated sludge metagenome,ILLUMINA,,33.4305,United States of America,-88.8278,,,,,,biosolids,,,,,,,activated sludge,,
SRR1168574,No,SRS556166,SRX468783,sludge; water,2015-02-10,600.0,7569986.0,4541991600.0,SRA,33.36,81.0,,,activated sludge metagenome,ILLUMINA,,33.4783,United States of America,-88.3918,,,,,,,,,,,,,activated sludge,,
SRR1171022,No,SRS528967,SRX425312,sludge,2015-01-07,484.0,14018.0,6779618.0,SRA,35.4,83.0,,,activated sludge metagenome,LS454,,,,,,,,,,,,,,,,,activated sludge,,
SRR1171178,No,SRS558669,SRX472115,sludge; water,2015-07-22,200.0,29210403.0,5842080600.0,SRA,32.33,79.0,2012-02-29,,SBR reactor Metagenome,ILLUMINA,,22.28,Hong Kong,114.14,,,,,,,,,,,,,,,
SRR1171179,No,SRS558669,SRX472214,sludge; water,2015-07-22,200.0,14271184.0,2854236800.0,SRA,32.2,79.0,2012-02-29,,SBR reactor Metagenome,ILLUMINA,,22.28,Hong Kong,114.14,,,,,,,,,,,,,,,
SRR1171181,No,SRS558669,SRX472214,sludge; water,2015-07-22,200.0,67870818.0,13574163600.0,SRA,33.87,86.0,2012-02-29,,SBR reactor Metagenome,ILLUMINA,,22.28,Hong Kong,114.14,,,,,,,,,,,,,,,
SRR1171182,No,SRS558669,SRX472214,sludge; water,2015-07-22,200.0,67829744.0,13565948800.0,SRA,34.05,87.0,2012-02-29,,SBR reactor Metagenome,ILLUMINA,,22.28,Hong Kong,114.14,,,,,,,,,,,,,,,
SRR1171646,Yes,SRS559143,SRX472106,soil,2014-09-16,666.0,92554.0,61659534.0,SRA,26.76,49.0,2011-08-29,grassland,Effects of N fertilization on arbuscular mycorrhizal fungal community in an alpine meadow on the Qinghai-Tibetan Plateau,LS454,0.075,,China,,,,,3200.0,,,,,,meadow soil,,,,,
SRR1171647,No,SRS559156,SRX472720,water,2015-07-22,282.0,52046668.0,14680928253.0,SRA,35.37,91.0,2012-05-23,,Metagenome of sponge Haliclona cymaeformis treated by copper,ILLUMINA,5.0,22.2753,Hong Kong,114.2941,,,,1.0,,,,,,,,,,,
SRR1171649,Yes,SRS559158,SRX472722,soil,2014-09-16,673.0,158703.0,106767499.0,SRA,25.6,44.0,2011-08-29,grassland,Effects of N fertilization on arbuscular mycorrhizal fungal community in an alpine meadow on the Qinghai-Tibetan Plateau,LS454,0.075,,China,,,,,3200.0,,,,,,meadow soil,,,,,
SRR1171657,Yes,SRS559164,SRX472727,water,2014-02-22,686.0,867884.0,595199349.0,SRA,29.18,56.0,2012-04-02,,Sponge treated by PBDE-47 Metagenome,LS454,5.0,22.2759,Hong Kong,114.2957,,,,1.0,,,,,,,,,,,
SRR1173821,No,SRS560353,SRX474032,water,2014-09-12,202.0,98994250.0,19996838500.0,SRA,35.57,91.0,2012-01-02,,Freshwater Reservoir Amadorio Metagenome,ILLUMINA,10.0,38.5355,Spain,-0.2663,,,,,,,,,,,,,,,
SRR1173877,No,SRS560354,SRX474087,water,2014-09-12,202.0,23897796.0,4827354792.0,SRA,33.18,85.0,2012-01-02,,Freshwater Reservoir Amadorio Metagenome,ILLUMINA,10.0,38.5355,Spain,-0.2663,,,,,,,,,,,,,,,
SRR1177797,Not inferred,SRS561927,SRX476218,sludge; soil,2014-03-01,169.0,5607669.0,946713222.0,SRA,24.39,32.0,2012-12-01,,Metagenome sequencing of Kuenenia stuttgartiensis TB1 enrichment culture,ION_TORRENT,,24.9585,Taiwan,121.2435,,,,,,,,,,,,,activated sludge,,
SRR1182407,No,SRS297328,SRX480816,sediment,2015-07-22,300.0,174142118.0,52242635400.0,SRA,29.83,73.0,,,Wetland Surface Sediment Feb2011 Site A1 Bulk Project,ILLUMINA,,,,,,,,,,,,,,,,,,,
SRR1182872,Not inferred,SRS565943,SRX481172,sludge; water,2015-03-05,181.0,5630598.0,1018710482.0,SRA,24.89,36.0,2012-10-15,,Anaerobic mesophilic digester fed with Spirulina - Metagenome,ION_TORRENT,,52.0396,Germany,8.4932,,waste water,,,,,,,,,,,anaerobic digester sludge,,
SRR1184661,No,SRS297328,SRX482087,sediment,2015-07-22,300.0,199519796.0,59855938800.0,SRA,29.42,72.0,,,Wetland Surface Sediment Feb2011 Site A1 Bulk Project,ILLUMINA,,,,,,,,,,,,,,,,,,,
SRR1188120,Not inferred,SRS569405,SRX485269,water,2015-03-12,191.0,2448982.0,467403953.0,SRA,29.0,61.0,2013-08-01,,Red granules from wastewater plant Metagenome,ION_TORRENT,,40.6517,United States of America,-73.8782,,,,,,,,,,,,,,,
SRR1611789,No,SRS721059,SRX732110,,2014-10-13,200.0,14663826.0,2932765200.0,SRA,32.5,81.0,,forest,Wake Forest Vervet Microbiome Project,ILLUMINA,,,,,,,,,,,,,,,,,,,
SRR1207238,No,SRS582758,SRX502789,sludge,2014-05-05,546.0,4.0,2186.0,SRA,31.94,65.0,,,Microbial communities in meso- and thermophilic hydrolytic digesters fed with renewable resources,LS454,,,Germany,,,,,,,hay; straw,,,,,biogas,,,,
SRR1207278,No,SRS583637,SRX502830,sludge,2014-05-05,509.0,2.0,1018.0,SRA,30.59,61.0,2010-10-25,,Microbial communities in meso- and thermophilic hydrolytic digesters fed with renewable resources,LS454,,,Germany,,,,,,,hay; straw,,,,,,,,,
SRR1237780,No,SRS591727,SRX516605,water,2015-02-17,202.0,5869083.0,1185554766.0,SRA,35.78,94.0,2013-03-07,,Abundance of antibiotic resistance genes and structure of the microbial community in sewage influenced by a nursing home,ILLUMINA,,48.0,Germany,8.0,,,,,,sewage,,,,,,,,,
SRR1237781,No,SRS591728,SRX516607,water,2015-02-17,202.0,2760185.0,557557370.0,SRA,35.48,93.0,2013-03-07,,Abundance of antibiotic resistance genes and structure of the microbial community in sewage influenced by a nursing home,ILLUMINA,,48.0,Germany,8.0,,,,,,sewage,,,,,,,,,
SRR1258859,No,SRS594911,SRX522561,sludge,2015-01-07,475.0,62297.0,29577836.0,SRA,35.49,83.0,2013-02-01,,activated sludge metagenome,LS454,,32.0,China,118.0,,,,,,,,,,,,,activated sludge,,
SRR1262938,No,SRS597339,SRX526809,,2014-05-22,202.0,85656631.0,17302639462.0,SRA,36.22,93.0,2013-10-25,,Synthetic metagenome samples: M-Y;  M-3D Metagenome,ILLUMINA,,,,,,,,,,,,,glass,,,,,,
SRR1263008,No,SRS597339,SRX527270,,2014-05-22,200.0,9216754.0,1843350800.0,SRA,34.27,87.0,2013-10-25,,Synthetic metagenome samples: M-Y;  M-3D Metagenome,ILLUMINA,,,,,,,,,,,,,glass,,,,,,
SRR1263009,No,SRS597339,SRX527868,water,2014-05-22,200.0,81035544.0,16207108800.0,SRA,35.25,90.0,2013-10-25,,Synthetic metagenome samples: M-Y;  M-3D Metagenome,ILLUMINA,,,,,,,,,ice,,,,glass,,,,,,
SRR1263047,No,SRS597884,SRX527905,water,2014-05-22,202.0,13833309.0,2794328418.0,SRA,27.04,66.0,,,Synthetic metagenome samples: M-Y;  M-3D Metagenome,ILLUMINA,,,,,,,,,ice,,,,glass,,,,,,
SRR1266728,Not inferred,SRS598822,SRX529946,sediment,2015-04-30,161.0,191667.0,30884828.0,SRA,24.61,34.0,2010-10-24,,Microbial Diversity in an Extremely High Sulfate Lake (Spotted Lake;  BC;  Canada),ION_TORRENT,0.05,49.078,Canada,-119.5675,,brine,,570.0,,,,,,,,lake sediment; saline lake sediment,,,
SRR1266729,Not inferred,SRS598822,SRX529947,sediment,2015-04-30,155.0,164881.0,25588771.0,SRA,24.73,35.0,2010-10-24,,Microbial Diversity in an Extremely High Sulfate Lake (Spotted Lake;  BC;  Canada),ION_TORRENT,0.05,49.078,Canada,-119.5675,,brine,,570.0,,,,,,,,lake sediment; saline lake sediment,,,
SRR1611797,No,SRS720749,SRX731654,,2014-10-13,200.0,17990898.0,3598179600.0,SRA,33.21,83.0,,forest,Wake Forest Vervet Microbiome Project,ILLUMINA,,,,,,,,,,,,,,,,,,,
SRR1266730,Not inferred,SRS598822,SRX529948,sediment,2015-04-30,176.0,113661.0,20023382.0,SRA,24.48,33.0,2010-10-24,,Microbial Diversity in an Extremely High Sulfate Lake (Spotted Lake;  BC;  Canada),ION_TORRENT,0.05,49.078,Canada,-119.5675,,brine,,570.0,,,,,,,,lake sediment; saline lake sediment,,,
